L4 — Population-level KL divergence (nats)
==========================================

  Arrival hour       : 0.011129 nats  (excellent)
  Plug-in duration   : 0.019058 nats  (excellent)
  Idle gap           : 0.003868 nats  (excellent)
  Energy             : 0.002433 nats  (excellent)

Arrival hour breakdown:
Hour  Real     Sim
  00   0.0207   0.0158
  01   0.0115   0.0098
  02   0.0079   0.0072
  03   0.0110   0.0115
  04   0.0118   0.0137
  05   0.0042   0.0042
  06   0.0046   0.0040
  07   0.0087   0.0048
  08   0.0125   0.0075
  09   0.0108   0.0072
  10   0.0176   0.0126
  11   0.0259   0.0184
  12   0.0302   0.0231
  13   0.0383   0.0305
  14   0.0626   0.0633
  15   0.0937   0.0965
  16   0.1214   0.1309
  17   0.0930   0.1038
  18   0.0828   0.0914
  19   0.0829   0.0913
  20   0.0838   0.0861
  21   0.0667   0.0728
  22   0.0614   0.0555
  23   0.0357   0.0381
