location,user_id,session_id,duration_hours,energy,start_date,start_time,end_date,end_time,start_hour,end_hour,month,day,duration_minutes,day_type,user_id_num
CH5,KR_U95,KR1,1.9666666666666666,14.0,2022-09-17,22:42:00,2022-09-18,00:40:00,22,0,September,Saturday,118.0,Weekend,0
CH5,KR_U95,KR2,2.3,16.2,2022-09-17,14:35:00,2022-09-17,16:53:00,14,16,September,Saturday,138.0,Weekend,0
CH5,KR_U95,KR3,1.2166666666666666,7.9,2022-08-13,06:21:00,2022-08-13,07:34:00,6,7,August,Saturday,73.0,Weekend,0
CH5,KR_U95,KR4,2.9166666666666665,18.8,2022-08-13,00:41:00,2022-08-13,03:36:00,0,3,August,Saturday,175.0,Weekend,0
CH5,KR_U95,KR5,3.7333333333333334,23.9,2022-08-12,05:00:00,2022-08-12,08:44:00,5,8,August,Friday,224.0,Weekday,0
CH5,KR_U95,KR6,7.266666666666667,46.8,2022-08-11,00:19:00,2022-08-11,07:35:00,0,7,August,Thursday,436.0,Weekday,0
CH5,KR_U95,KR7,0.9666666666666667,6.2,2022-08-05,14:52:00,2022-08-05,15:50:00,14,15,August,Friday,58.0,Weekday,0
CH5,KR_U95,KR8,8.516666666666667,54.6,2022-08-05,00:02:00,2022-08-05,08:33:00,0,8,August,Friday,511.00000000000006,Weekday,0
CH5,KR_U95,KR9,6.716666666666667,43.3,2022-08-03,02:18:00,2022-08-03,09:01:00,2,9,August,Wednesday,403.0,Weekday,0
CH5,KR_U95,KR10,1.0833333333333333,7.7,2022-08-24,07:54:00,2022-08-24,08:59:00,7,8,August,Wednesday,65.0,Weekday,0
CH5,KR_U95,KR11,5.633333333333334,40.7,2022-08-24,00:11:00,2022-08-24,05:49:00,0,5,August,Wednesday,338.0,Weekday,0
CH5,KR_U95,KR12,10.383333333333333,6.6,2022-08-16,20:47:00,2022-08-17,07:10:00,20,7,August,Tuesday,623.0,Weekday,0
CH5,KR_U95,KR13,2.5166666666666666,16.2,2022-08-16,05:22:00,2022-08-16,07:53:00,5,7,August,Tuesday,151.0,Weekday,0
CH5,KR_U95,KR14,3.25,21.1,2022-08-15,21:33:00,2022-08-16,00:48:00,21,0,August,Monday,195.0,Weekday,0
CH5,KR_U95,KR15,6.233333333333333,44.7,2022-07-04,23:46:00,2022-07-05,06:00:00,23,6,July,Monday,374.0,Weekday,0
CH5,KR_U95,KR16,10.7,29.9,2022-07-10,23:28:00,2022-07-11,10:10:00,23,10,July,Sunday,642.0,Weekend,0
CH5,KR_U95,KR17,5.6,36.3,2022-07-11,21:23:00,2022-07-12,02:59:00,21,2,July,Monday,336.0,Weekday,0
CH5,KR_U95,KR18,5.833333333333333,37.7,2022-07-15,23:12:00,2022-07-16,05:02:00,23,5,July,Friday,350.0,Weekday,0
CH5,KR_U95,KR19,6.916666666666667,44.4,2022-07-17,21:28:00,2022-07-18,04:23:00,21,4,July,Sunday,415.0,Weekend,0
CH5,KR_U95,KR20,5.566666666666666,35.8,2022-07-24,21:28:00,2022-07-25,03:02:00,21,3,July,Sunday,334.0,Weekend,0
CH5,KR_U95,KR21,6.333333333333333,45.9,2022-05-31,21:54:00,2022-06-01,04:14:00,21,4,May,Tuesday,380.0,Weekday,0
CH5,KR_U95,KR22,14.033333333333333,16.2,2022-06-05,00:27:00,2022-06-05,14:29:00,0,14,June,Sunday,842.0,Weekend,0
CH5,KR_U95,KR23,1.75,12.7,2022-06-06,12:38:00,2022-06-06,14:23:00,12,14,June,Monday,105.0,Weekday,0
CH5,KR_U95,KR24,1.35,9.4,2022-06-10,15:30:00,2022-06-10,16:51:00,15,16,June,Friday,81.0,Weekday,0
CH5,KR_U95,KR25,4.75,34.1,2022-06-16,22:24:00,2022-06-17,03:09:00,22,3,June,Thursday,285.0,Weekday,0
CH5,KR_U95,KR26,6.316666666666666,45.1,2022-06-17,22:40:00,2022-06-18,04:59:00,22,4,June,Friday,379.0,Weekday,0
CH5,KR_U95,KR27,5.3,37.8,2022-06-19,22:50:00,2022-06-20,04:08:00,22,4,June,Sunday,318.0,Weekend,0
CH5,KR_U95,KR28,6.833333333333333,49.0,2022-06-22,23:43:00,2022-06-23,06:33:00,23,6,June,Wednesday,410.0,Weekday,0
CH5,KR_U95,KR29,3.3833333333333333,24.2,2022-06-27,22:14:00,2022-06-28,01:37:00,22,1,June,Monday,203.0,Weekday,0
CH5,KR_U95,KR30,10.1,12.6,2022-06-29,20:04:00,2022-06-30,06:10:00,20,6,June,Wednesday,606.0,Weekday,0
CH5,KR_U95,KR31,6.283333333333333,44.8,2022-05-02,23:01:00,2022-05-03,05:18:00,23,5,May,Monday,377.0,Weekday,0
CH5,KR_U95,KR32,4.816666666666666,34.6,2022-05-04,23:09:00,2022-05-05,03:58:00,23,3,May,Wednesday,289.0,Weekday,0
CH5,KR_U95,KR33,7.333333333333333,52.7,2022-05-17,00:04:00,2022-05-17,07:24:00,0,7,May,Tuesday,440.0,Weekday,0
CH5,KR_U95,KR34,7.166666666666667,51.6,2022-05-18,00:00:00,2022-05-18,07:10:00,0,7,May,Wednesday,430.0,Weekday,0
CH5,KR_U95,KR35,5.95,42.8,2022-05-22,22:32:00,2022-05-23,04:29:00,22,4,May,Sunday,357.0,Weekend,0
CH5,KR_U95,KR36,5.983333333333333,42.8,2022-05-26,22:26:00,2022-05-27,04:25:00,22,4,May,Thursday,359.0,Weekday,0
CH5,KR_U95,KR37,5.516666666666667,39.4,2022-05-29,20:27:00,2022-05-30,01:58:00,20,1,May,Sunday,331.0,Weekend,0
CH5,KR_U95,KR38,7.666666666666667,54.2,2022-04-02,00:07:00,2022-04-02,07:47:00,0,7,April,Saturday,460.0,Weekend,0
CH5,KR_U95,KR39,6.5,46.6,2022-04-06,00:13:00,2022-04-06,06:43:00,0,6,April,Wednesday,390.0,Weekday,0
CH5,KR_U95,KR40,6.083333333333333,43.5,2022-04-15,23:29:00,2022-04-16,05:34:00,23,5,April,Friday,365.0,Weekday,0
CH5,KR_U95,KR41,7.6,54.3,2022-04-17,00:02:00,2022-04-17,07:38:00,0,7,April,Sunday,456.0,Weekend,0
CH5,KR_U95,KR42,2.716666666666667,19.3,2022-04-25,20:47:00,2022-04-25,23:30:00,20,23,April,Monday,163.0,Weekday,0
CH5,KR_U95,KR43,6.366666666666666,45.6,2022-04-27,23:26:00,2022-04-28,05:48:00,23,5,April,Wednesday,382.0,Weekday,0
CH5,KR_U95,KR44,6.3,44.9,2022-04-29,22:15:00,2022-04-30,04:33:00,22,4,April,Friday,378.0,Weekday,0
CH5,KR_U95,KR45,4.066666666666666,29.0,2022-02-28,21:55:00,2022-03-01,01:59:00,21,1,February,Monday,244.0,Weekday,0
CH5,KR_U95,KR46,6.6,46.7,2022-03-02,21:17:00,2022-03-03,03:53:00,21,3,March,Wednesday,396.0,Weekday,0
CH5,KR_U95,KR47,6.666666666666667,47.6,2022-03-04,23:46:00,2022-03-05,06:26:00,23,6,March,Friday,400.0,Weekday,0
CH5,KR_U95,KR48,4.116666666666666,29.2,2022-03-07,20:32:00,2022-03-08,00:39:00,20,0,March,Monday,246.99999999999997,Weekday,0
CH5,KR_U95,KR49,6.483333333333333,45.59,2022-03-09,22:58:00,2022-03-10,05:27:00,22,5,March,Wednesday,389.0,Weekday,0
CH5,KR_U95,KR50,5.683333333333334,40.5,2022-03-10,21:03:00,2022-03-11,02:44:00,21,2,March,Thursday,341.0,Weekday,0
CH5,KR_U95,KR51,6.933333333333334,49.5,2022-03-11,21:41:00,2022-03-12,04:37:00,21,4,March,Friday,416.0,Weekday,0
CH5,KR_U95,KR52,4.683333333333334,33.4,2022-03-12,20:30:00,2022-03-13,01:11:00,20,1,March,Saturday,281.0,Weekend,0
CH5,KR_U95,KR53,3.9833333333333334,28.39,2022-03-13,21:03:00,2022-03-14,01:02:00,21,1,March,Sunday,239.0,Weekend,0
CH5,KR_U95,KR54,4.666666666666667,33.4,2022-03-15,22:58:00,2022-03-16,03:38:00,22,3,March,Tuesday,280.0,Weekday,0
CH5,KR_U95,KR55,6.45,46.5,2022-03-16,22:27:00,2022-03-17,04:54:00,22,4,March,Wednesday,387.0,Weekday,0
CH5,KR_U95,KR56,1.3166666666666667,36.9,2022-03-17,20:36:00,2022-03-17,21:55:00,20,21,March,Thursday,79.0,Weekday,0
CH5,KR_U95,KR57,5.35,38.3,2022-03-22,21:02:00,2022-03-23,02:23:00,21,2,March,Tuesday,321.0,Weekday,0
CH5,KR_U95,KR58,5.183333333333334,37.1,2022-03-26,20:52:00,2022-03-27,02:03:00,20,2,March,Saturday,311.0,Weekend,0
CH5,KR_U95,KR59,4.933333333333334,35.2,2022-03-27,22:00:00,2022-03-28,02:56:00,22,2,March,Sunday,296.0,Weekend,0
