location,user_id,session_id,duration_hours,energy,arrival_hour,start_date,start_time,end_date,end_time,start_hour,end_hour,month,day,duration_minutes,day_type,facility,user_id_num
KR_commercial,KR_4,KR1,3.2247222222222223,22.5,18.383333333333333,2021-10-06,18:23:01,2021-10-06,21:36:30,18,21,October,Wednesday,193.48333333333335,Weekday,apartment,0
KR_commercial,KR_4,KR2,1.966388888888889,13.7,13.35,2021-10-07,13:21:13,2021-10-07,15:19:12,13,15,October,Thursday,117.98333333333333,Weekday,apartment,0
KR_commercial,KR_4,KR3,2.3305555555555557,16.2,20.033333333333335,2021-10-09,20:02:54,2021-10-09,22:22:44,20,22,October,Saturday,139.83333333333334,Weekend,apartment,0
KR_commercial,KR_4,KR4,3.296388888888889,23.2,21.35,2021-10-12,21:21:40,2021-10-13,00:39:27,21,0,October,Tuesday,197.78333333333333,Weekday,apartment,0
KR_commercial,KR_4,KR5,0.7794444444444445,4.2,0.7166666666666667,2021-10-13,00:43:18,2021-10-13,01:30:04,0,1,October,Wednesday,46.76666666666667,Weekday,apartment,0
KR_commercial,KR_4,KR6,2.4908333333333332,15.8,13.3,2021-10-17,13:18:28,2021-10-17,15:47:55,13,15,October,Sunday,149.45,Weekend,apartment,0
KR_commercial,KR_4,KR7,3.5219444444444443,22.7,10.65,2021-10-20,10:39:47,2021-10-20,14:11:06,10,14,October,Wednesday,211.31666666666666,Weekday,apartment,0
KR_commercial,KR_4,KR8,2.055,14.1,12.933333333333334,2021-10-21,12:56:50,2021-10-21,15:00:08,12,15,October,Thursday,123.30000000000001,Weekday,apartment,0
KR_commercial,KR_4,KR9,2.2225,15.2,14.65,2021-10-22,14:39:48,2021-10-22,16:53:09,14,16,October,Friday,133.35000000000002,Weekday,apartment,0
KR_commercial,KR_4,KR10,3.174722222222222,22.3,13.083333333333334,2021-10-25,13:05:38,2021-10-25,16:16:07,13,16,October,Monday,190.48333333333332,Weekday,apartment,0
KR_commercial,KR_4,KR11,3.276388888888889,23.2,13.516666666666667,2021-10-29,13:31:04,2021-10-29,16:47:39,13,16,October,Friday,196.58333333333334,Weekday,apartment,0
KR_commercial,KR_4,KR12,0.7025,3.0,17.0,2021-10-29,17:00:07,2021-10-29,17:42:16,17,17,October,Friday,42.15,Weekday,apartment,0
KR_commercial,KR_4,KR13,2.2244444444444444,15.4,17.266666666666666,2021-10-31,17:16:03,2021-10-31,19:29:31,17,19,October,Sunday,133.46666666666667,Weekend,apartment,0
KR_commercial,KR_4,KR14,0.7086111111111111,5.1,13.05,2021-11-01,13:03:44,2021-11-01,13:46:15,13,13,November,Monday,42.516666666666666,Weekday,apartment,0
KR_commercial,KR_4,KR15,1.0205555555555557,7.2,16.216666666666665,2021-11-01,16:13:00,2021-11-01,17:14:14,16,17,November,Monday,61.23333333333334,Weekday,apartment,0
KR_commercial,KR_4,KR16,2.2469444444444444,15.5,14.483333333333333,2021-11-02,14:29:15,2021-11-02,16:44:04,14,16,November,Tuesday,134.81666666666666,Weekday,apartment,0
KR_commercial,KR_4,KR17,2.078333333333333,14.3,18.416666666666668,2021-11-05,18:25:08,2021-11-05,20:29:50,18,20,November,Friday,124.69999999999999,Weekday,apartment,0
KR_commercial,KR_4,KR18,4.231944444444444,28.0,12.566666666666666,2021-11-09,12:34:14,2021-11-09,16:48:09,12,16,November,Tuesday,253.91666666666666,Weekday,apartment,0
KR_commercial,KR_4,KR19,2.813888888888889,17.6,17.4,2021-11-14,17:24:18,2021-11-14,20:13:08,17,20,November,Sunday,168.83333333333334,Weekend,apartment,0
KR_commercial,KR_4,KR20,2.9105555555555553,19.3,14.016666666666667,2021-11-16,14:01:26,2021-11-16,16:56:04,14,16,November,Tuesday,174.63333333333333,Weekday,apartment,0
