user_id,day_type,bin,calendar_date,arrival_hour,duration_h,gap_h,tau_eff_h,energy_kwh
ASK_Plass19,Weekday,11,2018-11-21,20.8079,8.5348,68.8535,77.3884,24.7094
ASK_Plass19,Weekday,11,2018-11-22,20.8981,23.2101,7.273,30.483,45.3795
ASK_Plass19,Weekday,11,2018-11-23,20.9246,18.5673,2.1855,20.7527,33.2179
ASK_Plass19,Weekday,8,2018-11-26,22.0566,8.9039,24.8481,33.752,6.3264
ASK_Plass19,Weekday,11,2018-12-03,21.8233,7.1674,112.4547,119.6222,31.0432
ASK_Plass19,Weekday,11,2018-12-06,21.2541,7.2814,61.125,68.4064,21.5381
ASK_Plass19,Weekday,8,2018-12-14,13.4919,14.0374,134.5401,148.5775,37.9575
ASK_Plass19,Weekday,9,2018-12-18,16.7449,17.243,18.6197,35.8627,54.0449
ASK_Plass19,Weekday,12,2018-12-26,21.0816,12.0933,129.6043,141.6976,27.8462
ASK_Plass19,Weekday,5,2018-12-28,21.6749,11.428,37.2098,48.6378,29.8247
ASK_Plass19,Weekday,11,2019-01-02,20.015,21.9256,61.9293,83.8548,35.6984
ASK_Plass19,Weekday,7,2019-01-07,12.0258,42.3465,35.7941,78.1406,35.2056
ASK_Plass19,Weekday,8,2019-01-09,22.0211,10.2616,37.1963,47.4579,45.754
ASK_Plass19,Weekday,11,2019-01-11,21.0728,8.9388,26.4632,35.402,13.8926
ASK_Plass19,Weekday,12,2019-01-14,19.3036,11.761,21.6808,33.4418,63.4372
ASK_Plass19,Weekday,9,2019-01-16,16.6071,16.7337,17.761,34.4947,7.2785
ASK_Plass19,Weekday,11,2019-01-24,21.6384,15.89,126.2823,142.1723,45.0034
ASK_Plass19,Weekday,4,2019-01-28,21.6893,6.1469,58.6395,64.7865,33.656
ASK_Plass19,Weekday,11,2019-01-31,20.4686,12.4325,57.9875,70.42,14.996
ASK_Plass19,Weekday,10,2019-02-06,17.9857,12.8963,69.221,82.1172,40.8402
ASK_Plass19,Weekday,11,2019-02-06,21.4387,3.6167,14.7609,18.3776,51.8104
ASK_Plass19,Weekday,11,2019-02-11,20.7699,10.2458,49.5325,59.7784,39.1284
ASK_Plass19,Weekday,12,2019-02-12,15.7186,16.6224,15.7436,32.366,31.7374
ASK_Plass19,Weekday,9,2019-02-14,17.2377,15.9736,20.1427,36.1163,33.3075
ASK_Plass19,Weekday,11,2019-02-15,21.1704,11.9705,22.2102,34.1807,51.4248
ASK_Plass19,Weekday,10,2019-02-21,17.8072,14.2543,74.9033,89.1576,35.2085
ASK_Plass19,Weekday,12,2019-02-25,22.4387,12.7869,47.5851,60.3719,44.4697
ASK_Plass19,Weekday,10,2019-03-01,19.2257,19.2815,73.1637,92.4452,18.9636
ASK_Plass19,Weekday,11,2019-03-04,21.8332,4.8869,22.4732,27.3601,20.4366
ASK_Plass19,Weekday,11,2019-03-06,20.3785,4.5626,27.4874,32.05,51.6255
ASK_Plass19,Weekday,9,2019-03-07,16.5349,17.0464,12.2218,29.2682,61.7991
ASK_Plass19,Weekday,12,2019-03-08,14.9266,0.1722,17.7469,17.919,39.6435
ASK_Plass19,Weekday,10,2019-03-13,18.8124,17.2994,49.3579,66.6574,38.0117
ASK_Plass19,Weekday,11,2019-03-18,21.8535,3.5453,73.2117,76.757,38.8973
ASK_Plass19,Weekday,9,2019-03-18,16.5254,12.9798,0.6317,13.6115,6.3335
ASK_Plass19,Weekday,12,2019-03-26,21.8051,16.9632,112.8207,129.7839,42.5326
ASK_Plass19,Weekday,9,2019-03-28,16.4208,14.4535,28.8309,43.2844,34.6183
ASK_Plass19,Weekday,9,2019-03-29,16.6009,17.0062,16.9267,33.9329,4.1383
ASK_Plass19,Weekday,11,2019-04-01,21.8475,9.086,4.0325,13.1184,38.1035
ASK_Plass19,Weekday,11,2019-04-01,21.8477,15.5785,6.5508,22.1293,38.1106
ASK_Plass19,Weekday,9,2019-04-05,16.7219,2.8158,72.3224,75.1382,21.7572
ASK_Plass19,Weekday,9,2019-04-09,16.5016,13.0068,55.2761,68.2829,51.3142
ASK_Plass19,Weekday,11,2019-04-16,21.1676,6.5,93.5671,100.0672,35.9053
ASK_Plass19,Weekday,9,2019-04-18,16.4447,17.6734,36.6796,54.353,42.3735
ASK_Plass19,Weekday,10,2019-04-19,19.1475,11.365,15.6227,26.9877,57.8824
ASK_Plass19,Weekday,8,2019-04-25,21.8339,12.6515,76.8924,89.544,34.2579
ASK_Plass19,Weekday,11,2019-04-26,21.8609,5.7198,29.1629,34.8827,13.8259
ASK_Plass19,Weekday,9,2019-04-29,15.9837,14.1982,4.6059,18.8041,37.4406
ASK_Plass19,Weekday,12,2019-05-02,17.6442,10.0664,57.7982,67.8646,36.3813
ASK_Plass19,Weekday,5,2019-05-07,20.3947,11.2363,77.061,88.2972,38.2555
ASK_Plass19,Weekday,10,2019-05-14,18.4434,13.1727,89.0818,102.2544,12.49
ASK_Plass19,Weekday,11,2019-05-14,20.6171,9.4774,1.2631,10.7406,34.0227
ASK_Plass19,Weekday,9,2019-05-20,16.4312,12.7538,77.5836,90.3374,66.6321
ASK_Plass19,Weekday,11,2019-05-22,20.994,6.0364,34.6709,40.7073,31.0636
ASK_Plass19,Weekday,9,2019-05-24,16.9775,14.009,33.6068,47.6158,30.8747
ASK_Plass19,Weekday,11,2019-05-27,21.262,11.4477,31.2319,42.6796,48.8094
ASK_Plass19,Weekday,9,2019-05-28,16.3574,1.3558,6.0958,7.4515,31.2606
ASK_Plass19,Weekday,9,2019-05-29,16.6847,17.0555,19.347,36.4025,24.8108
ASK_Plass19,Weekday,8,2019-06-06,21.1063,12.5523,131.229,143.7813,32.0597
ASK_Plass19,Weekday,10,2019-06-12,18.7133,14.9906,64.8143,79.8049,57.6517
ASK_Plass19,Weekday,7,2019-06-20,16.1152,1.6859,142.9375,144.6234,49.6867
ASK_Plass19,Weekday,7,2019-06-25,18.1302,9.9037,79.1297,89.0334,35.0185
ASK_Plass19,Weekday,11,2019-06-27,21.5556,9.5563,22.5318,32.0881,34.073
ASK_Plass19,Weekday,7,2019-07-01,17.6956,9.846,51.8875,61.7335,23.7376
ASK_Plass19,Weekday,7,2019-07-05,14.769,14.5146,86.1611,100.6756,11.1793
ASK_Plass19,Weekday,8,2019-07-09,18.1191,14.1171,30.6372,44.7544,34.3492
ASK_Plass19,Weekday,11,2019-07-12,20.7849,6.9736,61.3354,68.3089,56.1877
ASK_Plass19,Weekday,10,2019-07-19,19.1126,16.3778,91.9339,108.3116,24.058
ASK_Plass19,Weekday,11,2019-07-26,21.7667,17.8465,116.0409,133.8874,42.8076
ASK_Plass19,Weekday,11,2019-07-31,20.965,12.8277,53.2064,66.0341,33.8828
ASK_Plass19,Weekday,5,2019-08-01,21.4753,0.7052,28.4089,29.114,28.2502
ASK_Plass19,Weekday,10,2019-08-06,18.7473,11.0724,57.9216,68.994,57.3258
ASK_Plass19,Weekday,11,2019-08-12,21.3884,8.865,78.9611,87.826,40.8289
ASK_Plass19,Weekday,8,2019-08-13,18.6509,4.9198,25.0925,30.0124,35.3802
ASK_Plass19,Weekday,10,2019-08-19,20.0102,12.8629,82.1829,95.0458,39.0497
ASK_Plass19,Weekday,11,2019-08-22,20.8012,11.5363,70.0212,81.5575,28.6086
ASK_Plass19,Weekday,8,2019-08-26,20.8234,0.1514,53.0755,53.2269,20.1908
ASK_Plass19,Weekday,11,2019-08-28,21.502,5.0999,28.1616,33.2615,27.6914
