user_id,source_user_id,day_type,bin,calendar_date,arrival_hour,duration_h,gap_h,tau_eff_h,energy_kwh
sim_user_01,ASK_Plass23,Weekday,11,2026-01-02,20.2807,16.2883,10.387,26.6754,3.1849
sim_user_01,ASK_Plass23,Weekend,10,2026-01-04,19.8042,10.0931,16.0041,26.0972,4.308
sim_user_01,ASK_Plass23,Weekday,11,2026-01-05,19.7795,11.361,11.3815,22.7425,2.372
sim_user_01,ASK_Plass23,Weekday,9,2026-01-07,17.1531,15.3314,54.0792,69.4105,6.8124
sim_user_01,ASK_Plass23,Weekday,6,2026-01-09,19.6533,16.7675,29.4941,46.2616,4.717
sim_user_01,ASK_Plass23,Weekend,10,2026-01-11,18.0458,35.9826,24.2504,60.233,4.8577
sim_user_01,ASK_Plass23,Weekday,7,2026-01-12,18.3304,11.1079,9.2852,20.3931,6.4876
sim_user_01,ASK_Plass23,Weekday,9,2026-01-14,16.3505,16.9249,29.8878,46.8127,4.5329
sim_user_01,ASK_Plass23,Weekend,10,2026-01-17,18.9857,3.8332,6.9693,10.8025,6.2618
sim_user_01,ASK_Plass23,Weekend,11,2026-01-17,19.9439,12.3344,4.0901,16.4245,5.3101
sim_user_01,ASK_Plass23,Weekday,10,2026-01-19,18.1203,1.1962,6.0129,7.209,3.5548
sim_user_01,ASK_Plass23,Weekday,11,2026-01-19,20.0694,15.9498,52.1011,68.0509,5.8088
sim_user_01,ASK_Plass23,Weekday,8,2026-01-21,15.1129,2.2729,2.9938,5.2667,2.6813
sim_user_01,ASK_Plass23,Weekday,11,2026-01-21,21.007,19.822,9.9871,29.8091,7.7862
sim_user_01,ASK_Plass23,Weekday,10,2026-01-22,18.4212,22.9334,13.3564,36.2898,4.4872
sim_user_01,ASK_Plass23,Weekday,9,2026-01-23,16.9054,3.4683,17.432,20.9003,6.9122
sim_user_01,ASK_Plass23,Weekday,9,2026-01-26,16.7342,15.5158,9.3515,24.8672,8.7636
sim_user_01,ASK_Plass23,Weekday,11,2026-01-27,20.3367,7.3687,11.7003,19.069,6.9485
sim_user_01,ASK_Plass23,Weekday,11,2026-01-28,19.714,17.0432,6.6492,23.6924,3.0446
sim_user_01,ASK_Plass23,Weekday,11,2026-01-29,21.1475,16.5168,11.9728,28.4896,5.0033
sim_user_01,ASK_Plass23,Weekend,8,2026-01-31,14.4271,3.8792,0.0529,3.9322,4.8083
sim_user_01,ASK_Plass23,Weekend,10,2026-01-31,17.5953,29.6978,68.737,98.4348,3.3985
sim_user_01,ASK_Plass23,Weekend,8,2026-02-01,14.8402,2.3664,5.2009,7.5674,4.2517
sim_user_01,ASK_Plass23,Weekday,10,2026-02-02,18.9364,13.3636,21.2698,34.6334,6.1189
sim_user_01,ASK_Plass23,Weekday,10,2026-02-03,19.8912,13.1356,10.6718,23.8075,2.2217
sim_user_01,ASK_Plass23,Weekday,9,2026-02-04,18.162,18.1591,6.0965,24.2557,8.6551
sim_user_01,ASK_Plass23,Weekday,10,2026-02-04,19.4208,13.0428,3.0376,16.0803,6.5523
sim_user_01,ASK_Plass23,Weekend,11,2026-02-07,21.2079,11.8171,10.8398,22.6569,24.2966
sim_user_01,ASK_Plass23,Weekend,7,2026-02-07,21.8008,13.3942,3.7172,17.1114,5.6733
sim_user_01,ASK_Plass23,Weekend,9,2026-02-08,17.261,10.3068,1.5983,11.9051,3.5258
sim_user_01,ASK_Plass23,Weekday,10,2026-02-11,18.3372,17.8073,90.042,107.8493,6.9424
sim_user_01,ASK_Plass23,Weekend,11,2026-02-14,21.118,10.8926,8.1273,19.0199,5.842
sim_user_01,ASK_Plass23,Weekday,11,2026-02-16,20.967,13.49,56.4072,69.8972,3.7338
sim_user_01,ASK_Plass23,Weekday,9,2026-02-17,17.442,3.3318,24.1564,27.4882,5.0069
sim_user_01,ASK_Plass23,Weekday,10,2026-02-18,19.5474,17.5625,11.5649,29.1274,5.7449
sim_user_01,ASK_Plass23,Weekday,11,2026-02-19,21.8575,6.7329,5.5762,12.3091,4.6491
sim_user_01,ASK_Plass23,Weekday,11,2026-02-20,22.0023,13.9652,13.8204,27.7856,7.4228
sim_user_01,ASK_Plass23,Weekend,8,2026-02-21,14.17,16.5354,4.2357,20.7711,5.6164
sim_user_01,ASK_Plass23,Weekend,8,2026-02-21,15.0582,3.6386,38.6194,42.258,3.3783
sim_user_01,ASK_Plass23,Weekend,9,2026-02-22,17.1294,7.6586,2.5852,10.2438,1.7005
sim_user_01,ASK_Plass23,Weekday,11,2026-02-23,20.3016,23.2641,9.2874,32.5515,4.7902
sim_user_01,ASK_Plass23,Weekday,10,2026-02-25,20.138,18.5635,20.0571,38.6206,2.715
sim_user_01,ASK_Plass23,Weekday,9,2026-02-26,17.6621,19.0349,7.4122,26.447,5.6178
sim_user_01,ASK_Plass23,Weekday,8,2026-02-27,15.489,2.0401,17.296,19.3361,6.2677
sim_user_01,ASK_Plass23,Weekday,11,2026-02-27,21.1631,14.459,6.7536,21.2126,4.8182
sim_user_01,ASK_Plass23,Weekday,11,2026-03-05,21.4265,11.7094,73.696,85.4054,4.7744
sim_user_01,ASK_Plass23,Weekend,7,2026-03-07,15.1812,0.4404,2.9372,3.3776,4.7236
sim_user_01,ASK_Plass23,Weekend,11,2026-03-07,21.1411,16.5197,53.5364,70.0561,4.4604
sim_user_01,ASK_Plass23,Weekend,8,2026-03-08,15.8148,1.3649,1.5705,2.9354,3.7316
