user_id,day_type,bin,n_bin,fallback,pi0,D_family,G_family,E_family,A_family,n_pool_A
KR_U195,Weekday,1,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,2,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,3,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,4,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,5,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,6,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,7,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,8,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,9,1,2,0.0204,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,10,1,2,0.0204,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,11,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,12,2,2,0.0408,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,13,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,14,1,2,0.0204,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,15,0,2,0.0,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,16,1,2,0.0204,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
KR_U195,Weekday,17,3,2,0.0612,TruncGMM(K=2),Weibull,TruncGMM(K=2),TruncGMM(K=3),20
