user_id,day_type,bin_i,bin_next,D,G_eff,tau_eff,A,E,t_start_i
KR_U98,Weekend,10,7,4.933333333333334,132.75,137.68333333333334,18.483333333333334,32.8,2021-10-17T18:29:00.0
KR_U98,Weekend,7,9,5.1,239.28333333333336,244.38333333333335,12.166666666666666,35.9,2021-11-07T12:10:00.0
KR_U98,Weekend,9,7,5.333333333333333,206.28333333333333,211.61666666666667,16.55,35.4,2021-12-12T16:33:00.0
KR_U98,Weekend,7,5,5.216666666666667,39.2,44.41666666666667,12.166666666666666,34.9,2022-01-15T12:10:00.0
KR_U98,Weekend,5,8,4.516666666666667,2.5,7.016666666666667,8.583333333333334,32.2,2022-01-22T08:35:00.0
KR_U98,Weekend,8,9,5.483333333333333,140.3,145.78333333333333,15.6,36.1,2022-01-22T15:36:00.0
KR_U98,Weekend,9,8,5.633333333333334,40.65,46.28333333333333,17.383333333333333,37.7,2022-02-12T17:23:00.0
KR_U98,Weekend,8,10,4.2,166.75,170.95,15.666666666666666,27.7,2022-02-19T15:40:00.0
KR_U98,Weekend,10,9,3.2666666666666666,19.35,22.616666666666667,18.616666666666667,23.2,2022-03-13T18:37:00.0
KR_U98,Weekend,9,9,6.583333333333333,41.71666666666667,48.300000000000004,17.233333333333334,44.5,2022-03-19T17:14:00.0
KR_U98,Weekend,7,9,6.066666666666666,142.31666666666666,148.38333333333333,12.25,42.5,2022-05-01T12:15:00.0
KR_U98,Weekend,9,11,6.033333333333333,190.58333333333331,196.61666666666665,16.633333333333333,42.5,2022-05-22T16:38:00.0
KR_U98,Weekend,11,9,5.833333333333333,209.16666666666666,215.0,21.25,41.0,2022-06-19T21:15:00.0
KR_U98,Weekend,9,10,6.116666666666666,67.46666666666667,73.58333333333333,17.166666666666668,42.9,2022-07-23T17:10:00.0
KR_U98,Weekend,10,10,6.133333333333334,66.15,72.28333333333335,18.75,43.0,2022-07-31T18:45:00.0
KR_U98,Weekend,10,5,9.433333333333334,5.866666666666666,15.3,18.15,2.8,2022-08-13T18:09:00.0
KR_U98,Weekend,5,10,1.2333333333333334,8.65,9.883333333333333,9.45,8.6,2022-08-14T09:27:00.0
KR_U98,Weekend,10,7,3.5833333333333335,13.816666666666666,17.4,19.333333333333332,25.0,2022-08-14T19:20:00.0
KR_U98,Weekend,7,11,1.5666666666666667,6.966666666666667,8.533333333333333,12.733333333333333,10.7,2022-08-20T12:44:00.0
KR_U98,Weekend,11,11,2.7,188.35,191.04999999999998,21.266666666666666,18.9,2022-08-20T21:16:00.0
KR_U98,Weekday,9,7,7.633333333333334,132.65,140.28333333333333,17.733333333333334,53.9,2021-10-01T17:44:00.0
KR_U98,Weekday,7,8,1.1333333333333333,1.2833333333333334,2.416666666666667,12.65,7.9,2021-10-11T12:39:00.0
KR_U98,Weekday,8,8,5.666666666666667,43.21666666666667,48.88333333333333,15.066666666666666,40.0,2021-10-11T15:04:00.0
KR_U98,Weekday,8,9,5.483333333333333,115.96666666666667,121.45,15.95,38.7,2021-10-13T15:57:00.0
KR_U98,Weekday,9,10,7.683333333333334,65.95,73.63333333333334,17.4,54.4,2021-10-20T17:24:00.0
KR_U98,Weekday,10,10,6.6,40.81666666666666,47.416666666666664,19.033333333333335,47.2,2021-10-25T19:02:00.0
KR_U98,Weekday,10,10,4.266666666666667,19.6,23.866666666666667,18.45,30.7,2021-10-27T18:27:00.0
KR_U98,Weekday,10,7,4.416666666666667,38.83333333333333,43.24999999999999,18.316666666666666,31.29,2021-10-28T18:19:00.0
KR_U98,Weekday,7,8,5.583333333333333,43.983333333333334,49.56666666666667,13.566666666666666,39.09,2021-11-01T13:34:00.0
KR_U98,Weekday,8,9,5.5,164.08333333333334,169.58333333333334,15.133333333333333,39.0,2021-11-03T15:08:00.0
KR_U98,Weekday,9,10,4.933333333333334,45.1,50.03333333333333,16.716666666666665,33.1,2021-11-12T16:43:00.0
KR_U98,Weekday,10,9,5.3,184.83333333333331,190.13333333333333,18.75,35.3,2021-11-16T18:45:00.0
KR_U98,Weekday,9,9,7.483333333333333,17.133333333333333,24.616666666666667,16.883333333333333,51.4,2021-11-26T16:53:00.0
KR_U98,Weekday,9,8,4.716666666666667,41.53333333333333,46.25,17.133333333333333,31.8,2021-11-29T17:08:00.0
KR_U98,Weekday,8,8,5.85,40.95,46.800000000000004,15.383333333333333,39.2,2021-12-01T15:23:00.0
KR_U98,Weekday,8,9,0.55,2.433333333333333,2.9833333333333334,14.183333333333334,3.9,2021-12-03T14:11:00.0
KR_U98,Weekday,9,9,4.55,19.733333333333334,24.283333333333335,17.166666666666668,30.1,2021-12-03T17:10:00.0
KR_U98,Weekday,9,9,5.016666666666667,42.1,47.11666666666667,17.45,33.4,2021-12-06T17:27:00.0
KR_U98,Weekday,9,9,4.8,42.95,47.75,16.566666666666666,31.7,2021-12-08T16:34:00.0
KR_U98,Weekday,9,10,4.75,69.48333333333333,74.23333333333333,16.316666666666666,31.5,2021-12-10T16:19:00.0
KR_U98,Weekday,10,10,5.483333333333333,43.21666666666667,48.7,18.55,36.8,2021-12-15T18:33:00.0
KR_U98,Weekday,10,10,6.35,67.16666666666667,73.51666666666667,19.25,42.8,2021-12-17T19:15:00.0
KR_U98,Weekday,10,10,8.133333333333333,111.93333333333334,120.06666666666666,19.166666666666668,55.0,2021-12-22T19:10:00.0
KR_U98,Weekday,10,10,6.833333333333333,40.53333333333333,47.36666666666667,19.233333333333334,46.1,2021-12-29T19:14:00.0
